"codigo_localidade"	"localidade"	"nome_localidade_pai"	"codigo_variavel"	"variavel"	"unidade"	"periodo"	"pop"	"ano"
"1000"	"193"	"Ibaté"	"Região de Governo de São Carlos"	"55"	"População"	"Não possui unidade"	"1980-2018"	33572	"2017"
"1001"	"194"	"Ibirá"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	11733	"2017"
"1002"	"195"	"Ibirarema"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	7274	"2017"
"1003"	"196"	"Ibitinga"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	57022	"2017"
"1004"	"197"	"Ibiúna"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	74875	"2017"
"1005"	"198"	"Icém"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	7867	"2017"
"1006"	"199"	"Iepê"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	7828	"2017"
"1007"	"200"	"Igaraçu do Tietê"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	23897	"2017"
"1008"	"201"	"Igarapava"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	29037	"2017"
"1009"	"202"	"Igaratá"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	9169	"2017"
"1010"	"203"	"Iguape"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	29235	"2017"
"1011"	"204"	"Ilhabela"	"Região de Governo de Caraguatatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	31988	"2017"
"1012"	"205"	"Indaiatuba"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	232586	"2017"
"1013"	"206"	"Indiana"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	4791	"2017"
"1014"	"207"	"Indiaporã"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	3863	"2017"
"1015"	"208"	"Inúbia Paulista"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	3818	"2017"
"1016"	"209"	"Ipaussu"	"Região de Governo de Ourinhos"	"55"	"População"	"Não possui unidade"	"1980-2018"	14247	"2017"
"1017"	"210"	"Iperó"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	32632	"2017"
"1018"	"211"	"Ipeúna"	"Região de Governo de Rio Claro"	"55"	"População"	"Não possui unidade"	"1980-2018"	7087	"2017"
"1019"	"212"	"Iporanga"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	4366	"2017"
"1020"	"213"	"Ipuã"	"Região de Governo de São Joaquim da Barra"	"55"	"População"	"Não possui unidade"	"1980-2018"	15360	"2017"
"1021"	"214"	"Iracemápolis"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	22655	"2017"
"1022"	"215"	"Irapuã"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	7604	"2017"
"1023"	"216"	"Irapuru"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	7460	"2017"
"1024"	"217"	"Itaberá"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	17653	"2017"
"1025"	"218"	"Itaí"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	25753	"2017"
"1026"	"219"	"Itajobi"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	14618	"2017"
"1027"	"220"	"Itaju"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	3539	"2017"
"1028"	"221"	"Itanhaém"	"Região de Governo de Santos"	"55"	"População"	"Não possui unidade"	"1980-2018"	95235	"2017"
"1029"	"222"	"Itapecerica da Serra"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	164559	"2017"
"1030"	"223"	"Itapetininga"	"Região de Governo de Itapetininga"	"55"	"População"	"Não possui unidade"	"1980-2018"	155410	"2017"
"1031"	"224"	"Itapeva"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	90414	"2017"
"1032"	"225"	"Itapevi"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	226211	"2017"
"1033"	"226"	"Itapira"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	70802	"2017"
"1034"	"227"	"Itápolis"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	41120	"2017"
"1035"	"228"	"Itaporanga"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	14635	"2017"
"1036"	"229"	"Itapuí"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	13314	"2017"
"1037"	"230"	"Itapura"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	4748	"2017"
"1038"	"231"	"Itaquaquecetuba"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	355502	"2017"
"1039"	"232"	"Itararé"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	48633	"2017"
"1040"	"233"	"Itariri"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	16720	"2017"
"1041"	"234"	"Itatiba"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	113324	"2017"
"1042"	"235"	"Itatinga"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	19779	"2017"
"1043"	"236"	"Itirapina"	"Região de Governo de Rio Claro"	"55"	"População"	"Não possui unidade"	"1980-2018"	16682	"2017"
"1044"	"237"	"Itirapuã"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	6167	"2017"
"1045"	"238"	"Itobi"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	7591	"2017"
"1046"	"239"	"Itu"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	165253	"2017"
"1047"	"240"	"Itupeva"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	54901	"2017"
"1048"	"241"	"Ituverava"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	39827	"2017"
"1049"	"242"	"Jaborandi"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	6657	"2017"
"1050"	"243"	"Jaboticabal"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	73541	"2017"
"1051"	"244"	"Jacareí"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	223207	"2017"
"1052"	"245"	"Jaci"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	6587	"2017"
"1053"	"246"	"Jacupiranga"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	17182	"2017"
"1054"	"247"	"Jaguariúna"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	52125	"2017"
"1055"	"248"	"Jales"	"Região de Governo de Jales"	"55"	"População"	"Não possui unidade"	"1980-2018"	47204	"2017"
"1056"	"249"	"Jambeiro"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	5989	"2017"
"1057"	"250"	"Jandira"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	119011	"2017"
"1058"	"251"	"Jardinópolis"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	41436	"2017"
"1059"	"252"	"Jarinu"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	28070	"2017"
"1060"	"253"	"Jaú"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	142860	"2017"
"1061"	"254"	"Jeriquara"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	3145	"2017"
"1062"	"255"	"Joanópolis"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	12418	"2017"
"1063"	"256"	"João Ramalho"	"Região de Governo de Tupã"	"55"	"População"	"Não possui unidade"	"1980-2018"	4313	"2017"
"1064"	"257"	"José Bonifácio"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	35036	"2017"
"1065"	"258"	"Júlio Mesquita"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	4570	"2017"
"1066"	"259"	"Jundiaí"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	397353	"2017"
"1067"	"260"	"Junqueirópolis"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	19666	"2017"
"1068"	"261"	"Juquiá"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	18878	"2017"
"1069"	"262"	"Juquitiba"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	29862	"2017"
"1070"	"263"	"Lagoinha"	"Região de Governo de Taubaté"	"55"	"População"	"Não possui unidade"	"1980-2018"	4819	"2017"
"1071"	"264"	"Laranjal Paulista"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	27077	"2017"
"1072"	"265"	"Lavínia"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	8570	"2017"
"1073"	"266"	"Lavrinhas"	"Região de Governo de Cruzeiro"	"55"	"População"	"Não possui unidade"	"1980-2018"	6995	"2017"
"1074"	"267"	"Leme"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	98284	"2017"
"1075"	"268"	"Lençóis Paulista"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	64933	"2017"
"1076"	"269"	"Limeira"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	290613	"2017"
"1077"	"270"	"Lindóia"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	7456	"2017"
"1078"	"271"	"Lins"	"Região de Governo de Lins"	"55"	"População"	"Não possui unidade"	"1980-2018"	74120	"2017"
"1079"	"272"	"Lorena"	"Região de Governo de Guaratinguetá"	"55"	"População"	"Não possui unidade"	"1980-2018"	85442	"2017"
"1080"	"273"	"Louveira"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	45236	"2017"
"1081"	"274"	"Lucélia"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	20701	"2017"
"1082"	"275"	"Lucianópolis"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	2254	"2017"
"1083"	"276"	"Luís Antônio"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	13406	"2017"
"1084"	"277"	"Luiziânia"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	5536	"2017"
"1085"	"278"	"Lupércio"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	4400	"2017"
"1086"	"279"	"Lutécia"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	2644	"2017"
"1087"	"280"	"Macatuba"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	16736	"2017"
"1088"	"281"	"Macaubal"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	7740	"2017"
"1089"	"282"	"Macedônia"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	3600	"2017"
"1090"	"283"	"Magda"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	3122	"2017"
"1091"	"284"	"Mairinque"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	45439	"2017"
"1092"	"285"	"Mairiporã"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	93418	"2017"
"1093"	"286"	"Manduri"	"Região de Governo de Avaré"	"55"	"População"	"Não possui unidade"	"1980-2018"	9378	"2017"
"1094"	"287"	"Marabá Paulista"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	4893	"2017"
"1095"	"288"	"Maracaí"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	13473	"2017"
"1096"	"289"	"Mariápolis"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	3959	"2017"
"1097"	"290"	"Marília"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	227380	"2017"
"1098"	"291"	"Marinópolis"	"Região de Governo de Jales"	"55"	"População"	"Não possui unidade"	"1980-2018"	2100	"2017"
"1099"	"292"	"Martinópolis"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	25242	"2017"
"1100"	"293"	"Matão"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	79171	"2017"
"1101"	"294"	"Mauá"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	447911	"2017"
"1102"	"295"	"Mendonça"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	4934	"2017"
"1103"	"296"	"Meridiano"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	3775	"2017"
"1104"	"297"	"Miguelópolis"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	21151	"2017"
"1105"	"298"	"Mineiros do Tietê"	"Região de Governo de Jaú"	"55"	"População"	"Não possui unidade"	"1980-2018"	12432	"2017"
"1106"	"299"	"Miracatu"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	19990	"2017"
"1107"	"300"	"Mira Estrela"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	2905	"2017"
"1108"	"301"	"Mirandópolis"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	28335	"2017"
"1109"	"302"	"Mirante do Paranapanema"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	17566	"2017"
"1110"	"303"	"Mirassol"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	56685	"2017"
"1111"	"304"	"Mirassolândia"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	4580	"2017"
"1112"	"305"	"Mococa"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	66606	"2017"
"1113"	"306"	"Mogi das Cruzes"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	419486	"2017"
"1114"	"307"	"Mogi Guaçu"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	145149	"2017"
"1115"	"308"	"Moji Mirim"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	89390	"2017"
"1116"	"309"	"Mombuca"	"Região de Governo de Piracicaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	3313	"2017"
"1117"	"310"	"Monções"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	2166	"2017"
"1118"	"311"	"Mongaguá"	"Região de Governo de Santos"	"55"	"População"	"Não possui unidade"	"1980-2018"	52169	"2017"
"1119"	"312"	"Monte Alegre do Sul"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	7589	"2017"
"1120"	"313"	"Monte Alto"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	47959	"2017"
"1121"	"314"	"Monte Aprazível"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	23045	"2017"
"1122"	"315"	"Monte Azul Paulista"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	18408	"2017"
"1123"	"316"	"Monte Castelo"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	4007	"2017"
"1124"	"317"	"Monteiro Lobato"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	4364	"2017"
"1125"	"318"	"Monte Mor"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	56359	"2017"
"1126"	"319"	"Morro Agudo"	"Região de Governo de São Joaquim da Barra"	"55"	"População"	"Não possui unidade"	"1980-2018"	31383	"2017"
"1127"	"320"	"Morungaba"	"Região de Governo de Jundiaí"	"55"	"População"	"Não possui unidade"	"1980-2018"	12815	"2017"
"1128"	"321"	"Murutinga do Sul"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	4256	"2017"
"1129"	"322"	"Narandiba"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	4671	"2017"
"1130"	"323"	"Natividade da Serra"	"Região de Governo de Taubaté"	"55"	"População"	"Não possui unidade"	"1980-2018"	6687	"2017"
"1131"	"324"	"Nazaré Paulista"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	17842	"2017"
"1132"	"325"	"Neves Paulista"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	8677	"2017"
"1133"	"326"	"Nhandeara"	"Região de Governo de Votuporanga"	"55"	"População"	"Não possui unidade"	"1980-2018"	10790	"2017"
"1134"	"327"	"Nipoã"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	4781	"2017"
"1135"	"328"	"Nova Aliança"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	6289	"2017"
"1136"	"329"	"Nova Europa"	"Região de Governo de Araraquara"	"55"	"População"	"Não possui unidade"	"1980-2018"	10323	"2017"
"1137"	"330"	"Nova Granada"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	20411	"2017"
"1138"	"331"	"Nova Guataporanga"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	2188	"2017"
"1139"	"332"	"Nova Independência"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	3547	"2017"
"1140"	"333"	"Nova Luzitânia"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	3882	"2017"
"1141"	"334"	"Nova Odessa"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	56142	"2017"
"1142"	"335"	"Novo Horizonte"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	38281	"2017"
"1143"	"336"	"Nuporanga"	"Região de Governo de São Joaquim da Barra"	"55"	"População"	"Não possui unidade"	"1980-2018"	7141	"2017"
"1144"	"337"	"Ocauçu"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	4149	"2017"
"1145"	"338"	"Óleo"	"Região de Governo de Ourinhos"	"55"	"População"	"Não possui unidade"	"1980-2018"	2560	"2017"
"1146"	"339"	"Olímpia"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	51826	"2017"
"1147"	"340"	"Onda Verde"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	4126	"2017"
"1148"	"341"	"Oriente"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	6215	"2017"
"1149"	"342"	"Orindiúva"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	6529	"2017"
"1150"	"343"	"Orlândia"	"Região de Governo de São Joaquim da Barra"	"55"	"População"	"Não possui unidade"	"1980-2018"	41570	"2017"
"1151"	"344"	"Osasco"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	676149	"2017"
"1152"	"345"	"Oscar Bressane"	"Região de Governo de Marília"	"55"	"População"	"Não possui unidade"	"1980-2018"	2520	"2017"
"1153"	"346"	"Osvaldo Cruz"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	31185	"2017"
"1154"	"347"	"Ourinhos"	"Região de Governo de Ourinhos"	"55"	"População"	"Não possui unidade"	"1980-2018"	108327	"2017"
"1155"	"348"	"Ouro Verde"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	8129	"2017"
"1156"	"349"	"Pacaembu"	"Região de Governo de Adamantina"	"55"	"População"	"Não possui unidade"	"1980-2018"	13105	"2017"
"1157"	"350"	"Palestina"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	11863	"2017"
"1158"	"351"	"Palmares Paulista"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	12398	"2017"
"1159"	"352"	"Palmeira d'Oeste"	"Região de Governo de Jales"	"55"	"População"	"Não possui unidade"	"1980-2018"	9239	"2017"
"1160"	"353"	"Palmital"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	21484	"2017"
"1161"	"354"	"Panorama"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	15017	"2017"
"1162"	"355"	"Paraguaçu Paulista"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	43629	"2017"
"1163"	"356"	"Paraibuna"	"Região de Governo de São José dos Campos"	"55"	"População"	"Não possui unidade"	"1980-2018"	17976	"2017"
"1164"	"357"	"Paraíso"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	6169	"2017"
"1165"	"358"	"Paranapanema"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	19299	"2017"
"1166"	"359"	"Paranapuã"	"Região de Governo de Jales"	"55"	"População"	"Não possui unidade"	"1980-2018"	3873	"2017"
"1167"	"360"	"Parapuã"	"Região de Governo de Tupã"	"55"	"População"	"Não possui unidade"	"1980-2018"	10600	"2017"
"1168"	"361"	"Pardinho"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	6144	"2017"
"1169"	"362"	"Pariquera-Açu"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	19015	"2017"
"1170"	"363"	"Patrocínio Paulista"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	14031	"2017"
"1171"	"364"	"Paulicéia"	"Região de Governo de Dracena"	"55"	"População"	"Não possui unidade"	"1980-2018"	6910	"2017"
"1172"	"365"	"Paulínia"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	98915	"2017"
"1173"	"366"	"Paulo de Faria"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	8531	"2017"
"1174"	"367"	"Pederneiras"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	44383	"2017"
"1175"	"368"	"Pedra Bela"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	5912	"2017"
"1176"	"369"	"Pedranópolis"	"Região de Governo de Fernandópolis"	"55"	"População"	"Não possui unidade"	"1980-2018"	2455	"2017"
"1177"	"370"	"Pedregulho"	"Região de Governo de Franca"	"55"	"População"	"Não possui unidade"	"1980-2018"	16112	"2017"
"1178"	"371"	"Pedreira"	"Região de Governo de Campinas"	"55"	"População"	"Não possui unidade"	"1980-2018"	45161	"2017"
"1179"	"372"	"Pedro de Toledo"	"Região de Governo de Registro"	"55"	"População"	"Não possui unidade"	"1980-2018"	10734	"2017"
"1180"	"373"	"Penápolis"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	60157	"2017"
"1181"	"374"	"Pereira Barreto"	"Região de Governo de Andradina"	"55"	"População"	"Não possui unidade"	"1980-2018"	25276	"2017"
"1182"	"375"	"Pereiras"	"Região de Governo de Botucatu"	"55"	"População"	"Não possui unidade"	"1980-2018"	8147	"2017"
"1183"	"376"	"Peruíbe"	"Região de Governo de Santos"	"55"	"População"	"Não possui unidade"	"1980-2018"	64248	"2017"
"1184"	"377"	"Piacatu"	"Região de Governo de Araçatuba"	"55"	"População"	"Não possui unidade"	"1980-2018"	5714	"2017"
"1185"	"378"	"Piedade"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	53078	"2017"
"1186"	"379"	"Pilar do Sul"	"Região de Governo de Sorocaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	27692	"2017"
"1187"	"380"	"Pindamonhangaba"	"Região de Governo de Taubaté"	"55"	"População"	"Não possui unidade"	"1980-2018"	158974	"2017"
"1188"	"381"	"Pindorama"	"Região de Governo de Catanduva"	"55"	"População"	"Não possui unidade"	"1980-2018"	15946	"2017"
"1189"	"382"	"Espírito Santo do Pinhal"	"Região de Governo de São João da Boa Vista"	"55"	"População"	"Não possui unidade"	"1980-2018"	42405	"2017"
"1190"	"383"	"Pinhalzinho"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	14275	"2017"
"1191"	"384"	"Piquerobi"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	3534	"2017"
"1192"	"385"	"Piquete"	"Região de Governo de Guaratinguetá"	"55"	"População"	"Não possui unidade"	"1980-2018"	13754	"2017"
"1193"	"386"	"Piracaia"	"Região de Governo de Bragança Paulista"	"55"	"População"	"Não possui unidade"	"1980-2018"	25929	"2017"
"1194"	"387"	"Piracicaba"	"Região de Governo de Piracicaba"	"55"	"População"	"Não possui unidade"	"1980-2018"	382817	"2017"
"1195"	"388"	"Piraju"	"Região de Governo de Itapeva"	"55"	"População"	"Não possui unidade"	"1980-2018"	28569	"2017"
"1196"	"389"	"Pirajuí"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	23169	"2017"
"1197"	"390"	"Pirangi"	"Região de Governo de Barretos"	"55"	"População"	"Não possui unidade"	"1980-2018"	10775	"2017"
"1198"	"391"	"Pirapora do Bom Jesus"	"Região Metropolitana de São Paulo"	"55"	"População"	"Não possui unidade"	"1980-2018"	17865	"2017"
"1199"	"392"	"Pirapozinho"	"Região de Governo de Presidente Prudente"	"55"	"População"	"Não possui unidade"	"1980-2018"	26461	"2017"
"1200"	"393"	"Pirassununga"	"Região de Governo de Limeira"	"55"	"População"	"Não possui unidade"	"1980-2018"	72691	"2017"
"1201"	"394"	"Piratininga"	"Região de Governo de Bauru"	"55"	"População"	"Não possui unidade"	"1980-2018"	12875	"2017"
"1202"	"395"	"Pitangueiras"	"Região de Governo de Ribeirão Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	37613	"2017"
"1203"	"396"	"Planalto"	"Região de Governo de São José do Rio Preto"	"55"	"População"	"Não possui unidade"	"1980-2018"	4964	"2017"
"1204"	"397"	"Platina"	"Região de Governo de Assis"	"55"	"População"	"Não possui unidade"	"1980-2018"	3408	"2017"
